Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,SeasonKey,Weight
12/03/17,Sociedad,Ath Bilbao,0,2,A,2016-17,16,0.6
13/03/17,Osasuna,Eibar,1,1,D,2016-17,16,0.6
17/03/17,Las Palmas,Villarreal,1,0,H,2016-17,16,0.6
18/03/17,Alaves,Sociedad,1,0,H,2016-17,16,0.6
18/03/17,Ath Bilbao,Real Madrid,1,2,A,2016-17,16,0.6
18/03/17,Betis,Osasuna,2,0,H,2016-17,16,0.6
18/03/17,Eibar,Espanol,1,1,D,2016-17,16,0.6
19/03/17,Ath Madrid,Sevilla,3,1,H,2016-17,16,0.6
19/03/17,Barcelona,Valencia,4,2,H,2016-17,16,0.6
19/03/17,La Coruna,Celta,0,1,A,2016-17,16,0.6
19/03/17,Leganes,Malaga,0,0,D,2016-17,16,0.6
19/03/17,Sp Gijon,Granada,3,1,H,2016-17,16,0.6
31/03/17,Espanol,Betis,2,1,H,2016-17,16,0.6
01/04/17,Malaga,Ath Madrid,0,2,A,2016-17,16,0.6
01/04/17,Osasuna,Ath Bilbao,1,2,A,2016-17,16,0.6
01/04/17,Sociedad,Leganes,1,1,D,2016-17,16,0.6
01/04/17,Villarreal,Eibar,2,3,A,2016-17,16,0.6
02/04/17,Granada,Barcelona,1,4,A,2016-17,16,0.6
02/04/17,Real Madrid,Alaves,3,0,H,2016-17,16,0.6
02/04/17,Sevilla,Sp Gijon,0,0,D,2016-17,16,0.6
02/04/17,Valencia,La Coruna,3,0,H,2016-17,16,0.6
03/04/17,Celta,Las Palmas,3,1,H,2016-17,16,0.6
04/04/17,Ath Bilbao,Espanol,2,0,H,2016-17,16,0.6
04/04/17,Ath Madrid,Sociedad,1,0,H,2016-17,16,0.6
04/04/17,Betis,Villarreal,0,1,A,2016-17,16,0.6
05/04/17,Alaves,Osasuna,0,1,A,2016-17,16,0.6
05/04/17,Barcelona,Sevilla,3,0,H,2016-17,16,0.6
05/04/17,La Coruna,Granada,0,0,D,2016-17,16,0.6
05/04/17,Leganes,Real Madrid,2,4,A,2016-17,16,0.6
05/04/17,Sp Gijon,Malaga,0,1,A,2016-17,16,0.6
06/04/17,Eibar,Las Palmas,3,1,H,2016-17,16,0.6
06/04/17,Valencia,Celta,3,2,H,2016-17,16,0.6
