Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,SeasonKey,Weight
26/02/17,Crotone,Cagliari,1,2,A,2016-17,16,0.6
26/02/17,Genoa,Bologna,1,1,D,2016-17,16,0.6
26/02/17,Inter,Roma,1,3,A,2016-17,16,0.6
26/02/17,Lazio,Udinese,1,0,H,2016-17,16,0.6
26/02/17,Palermo,Sampdoria,1,1,D,2016-17,16,0.6
26/02/17,Sassuolo,Milan,0,1,A,2016-17,16,0.6
27/02/17,Fiorentina,Torino,2,2,D,2016-17,16,0.6
04/03/17,Milan,Chievo,3,1,H,2016-17,16,0.6
04/03/17,Roma,Napoli,1,2,A,2016-17,16,0.6
04/03/17,Sampdoria,Pescara,3,1,H,2016-17,16,0.6
05/03/17,Atalanta,Fiorentina,0,0,D,2016-17,16,0.6
05/03/17,Bologna,Lazio,0,2,A,2016-17,16,0.6
05/03/17,Cagliari,Inter,1,5,A,2016-17,16,0.6
05/03/17,Crotone,Sassuolo,0,0,D,2016-17,16,0.6
05/03/17,Empoli,Genoa,0,2,A,2016-17,16,0.6
05/03/17,Torino,Palermo,3,1,H,2016-17,16,0.6
05/03/17,Udinese,Juventus,1,1,D,2016-17,16,0.6
10/03/17,Juventus,Milan,2,1,H,2016-17,16,0.6
11/03/17,Genoa,Sampdoria,0,1,A,2016-17,16,0.6
12/03/17,Chievo,Empoli,4,0,H,2016-17,16,0.6
12/03/17,Fiorentina,Cagliari,1,0,H,2016-17,16,0.6
12/03/17,Inter,Atalanta,7,1,H,2016-17,16,0.6
12/03/17,Napoli,Crotone,3,0,H,2016-17,16,0.6
12/03/17,Palermo,Roma,0,3,A,2016-17,16,0.6
12/03/17,Pescara,Udinese,1,3,A,2016-17,16,0.6
12/03/17,Sassuolo,Bologna,0,1,A,2016-17,16,0.6
13/03/17,Lazio,Torino,3,1,H,2016-17,16,0.6
18/03/17,Milan,Genoa,1,0,H,2016-17,16,0.6
18/03/17,Torino,Inter,2,2,D,2016-17,16,0.6
19/03/17,Atalanta,Pescara,3,0,H,2016-17,16,0.6
19/03/17,Bologna,Chievo,4,1,H,2016-17,16,0.6
19/03/17,Cagliari,Lazio,0,0,D,2016-17,16,0.6
19/03/17,Crotone,Fiorentina,0,1,A,2016-17,16,0.6
19/03/17,Empoli,Napoli,2,3,A,2016-17,16,0.6
19/03/17,Roma,Sassuolo,3,1,H,2016-17,16,0.6
19/03/17,Sampdoria,Juventus,0,1,A,2016-17,16,0.6
19/03/17,Udinese,Palermo,4,1,H,2016-17,16,0.6
01/04/17,Roma,Empoli,2,0,H,2016-17,16,0.6
01/04/17,Sassuolo,Lazio,1,2,A,2016-17,16,0.6
02/04/17,Chievo,Crotone,1,2,A,2016-17,16,0.6
02/04/17,Fiorentina,Bologna,1,0,H,2016-17,16,0.6
02/04/17,Genoa,Atalanta,0,5,A,2016-17,16,0.6
02/04/17,Napoli,Juventus,1,1,D,2016-17,16,0.6
02/04/17,Palermo,Cagliari,1,3,A,2016-17,16,0.6
02/04/17,Pescara,Milan,1,1,D,2016-17,16,0.6
02/04/17,Torino,Udinese,2,2,D,2016-17,16,0.6
03/04/17,Inter,Sampdoria,1,2,A,2016-17,16,0.6
08/04/17,Atalanta,Sassuolo,1,1,D,2016-17,16,0.6
08/04/17,Empoli,Pescara,1,1,D,2016-17,16,0.6
08/04/17,Juventus,Chievo,2,0,H,2016-17,16,0.6
09/04/17,Bologna,Roma,0,3,A,2016-17,16,0.6
09/04/17,Cagliari,Torino,2,3,A,2016-17,16,0.6
09/04/17,Crotone,Inter,2,1,H,2016-17,16,0.6
09/04/17,Lazio,Napoli,0,3,A,2016-17,16,0.6
09/04/17,Milan,Palermo,4,0,H,2016-17,16,0.6
09/04/17,Sampdoria,Fiorentina,2,2,D,2016-17,16,0.6
09/04/17,Udinese,Genoa,3,0,H,2016-17,16,0.6
15/04/17,Cagliari,Chievo,4,0,H,2016-17,16,0.6
15/04/17,Fiorentina,Empoli,1,2,A,2016-17,16,0.6
15/04/17,Genoa,Lazio,2,2,D,2016-17,16,0.6
15/04/17,Inter,Milan,2,2,D,2016-17,16,0.6
15/04/17,Napoli,Udinese,3,0,H,2016-17,16,0.6
15/04/17,Palermo,Bologna,0,0,D,2016-17,16,0.6
